Split,Model Group,Model,stock_id,n_rows,RMSE,RMSPE,QLIKE
Seen test,Normal Long,RF Long,18,5750,0.001246086775144608,33.01822838988052,0.47567664612217414
Seen test,Normal Long,RF Long,19,5750,0.00040501572008210863,5.9603405794002144,0.2303557180999053
Seen test,Normal Long,RF Long,20,5750,0.00029523006437871927,1.4151060327222889,0.09506159303731308
Seen test,Normal Long,RF Long,27,5750,0.0009833850129850263,23.281823669172763,0.3656737655822829
Seen test,Normal Long,RF Long,29,5750,0.0001653159510131328,0.9716338260624118,0.11036250418826976
Seen test,Normal Long,RF Long,37,5750,0.000990582144978998,28.766954232856857,0.49667406719709056
Seen test,Normal Long,RF Long,43,5750,0.0001872908192534062,1.6202127830789885,0.20400151773398156
Seen test,Normal Long,RF Long,44,5750,0.00027250868413304516,1.0182433893519438,0.08142397204723137
Seen test,Normal Long,RF Long,46,5750,0.0002134607904289677,2.278829924157961,0.18828404139114793
Seen test,Normal Long,RF Long,51,5750,0.0002757487926131344,2.562696415329807,0.11632166892665749
Seen test,Normal Long,RF Long,61,5750,0.00028371045636573796,0.46760729091539843,0.06753681285409593
Seen test,Normal Long,RF Long,62,5750,0.0006322629894092481,5.914343882899561,0.1507559468989214
Seen test,Normal Long,RF Long,63,5750,0.000308830011716352,1.7211820678852545,0.10950384923870218
Seen test,Normal Long,RF Long,64,5750,0.00023780945931998432,1.6660480786603777,0.11495567879801945
Seen test,Normal Long,RF Long,68,5750,0.0004286444627867172,2.5012039317244152,0.13234884258887392
Seen test,Normal Long,RF Long,69,5750,0.00018628376428728142,0.6578894284511436,0.07819439158216707
Seen test,Normal Long,RF Long,70,5750,0.0003482287867550562,4.123428480831958,0.19366231774633003
Seen test,Normal Long,RF Long,72,5750,0.0004527892739981991,7.852291331152519,0.19942310681981223
Seen test,Normal Long,RF Long,75,5750,0.0010351719312779314,24.13738994035805,0.3446307088507383
Seen test,Normal Long,RF Long,77,5750,0.00030920467784869,1.5372981479751575,0.09678659778589613
Seen test,Normal Long,RF Long,78,5750,0.0005366317714263498,7.598324174429188,0.17097474442983035
Seen test,Normal Long,RF Long,80,5750,0.0008106742260037898,9.217004130673685,0.16444928218477722
Seen test,Normal Long,RF Long,82,5750,0.00045423078492875965,8.640365356816275,0.22625235704455499
Seen test,Normal Long,RF Long,83,5750,0.0006576826972045117,13.242778465699041,0.2678616604361577
Seen test,Normal Long,RF Long,90,5750,0.0007013956140871775,10.928825702156963,0.2635555348796172
Seen test,Normal Long,RF Long,98,5750,0.0007362264100561873,18.0340504769947,0.3893528456585573
