Split,Model Group,Model,stock_id,n_rows,RMSE,RMSPE,QLIKE
Unseen anonymous,Normal Long,LR Long,0,38300,0.0006201266116729979,16.034693832246916,0.31983671230871624
Unseen anonymous,Normal Long,LR Long,17,38300,0.00043344946051119507,2.0968061412899686,0.09375631012737078
Unseen anonymous,Normal Long,LR Long,22,38300,0.0005632501746397884,7.84249896046022,0.16256530097148317
Unseen anonymous,Normal Long,LR Long,28,38300,0.00033240347229169446,2.6727525102175558,0.13597250919096232
Unseen anonymous,Normal Long,LR Long,30,38300,0.0006150550595589994,13.149402768402972,0.294478240153835
Unseen anonymous,Normal Long,LR Long,34,38300,0.0002511633752378467,1.5049736519748425,0.08783106578932602
Unseen anonymous,Normal Long,LR Long,35,38300,0.000281703190847226,0.5889487972128628,0.05477184541650111
Unseen anonymous,Normal Long,LR Long,38,38150,0.000587214819105157,8.036049083588393,0.21791181595112943
Unseen anonymous,Normal Long,LR Long,40,38300,0.0007412599776855852,13.205129319210577,0.2673008655629846
Unseen anonymous,Normal Long,LR Long,48,38300,0.0003834181263950983,3.9615260959944676,0.15296501623608671
Unseen anonymous,Normal Long,LR Long,60,38300,0.0005414115056814827,11.441322885420458,0.337624967010397
Unseen anonymous,Normal Long,LR Long,74,38300,0.00040030464367320147,3.371064126135554,0.22355004767955372
Unseen anonymous,Normal Long,LR Long,81,38300,0.0005184701066382893,3.5794643959200285,0.14766727886431158
Unseen anonymous,Normal Long,LR Long,84,38300,0.00029408667643119333,0.6187174359634132,0.05312098238386615
Unseen anonymous,Normal Long,LR Long,87,38300,0.0004914706202148052,4.073574796591187,0.12608458862941677
Unseen anonymous,Normal Long,LR Long,89,38300,0.0004265282873456675,4.428710923832061,0.23761850133402462
Unseen anonymous,Normal Long,LR Long,93,38300,0.00023031711748775394,1.2030428898949674,0.08091371912411324
Unseen anonymous,Normal Long,LR Long,95,38300,0.00026410488311847486,1.2750954671831127,0.07201609335712794
Unseen anonymous,Normal Long,LR Long,105,38300,0.0002832686919824002,3.080058404488204,0.17455121628675743
Unseen anonymous,Normal Long,LR Long,111,38300,0.00020241837112690885,1.2464940209781292,0.09141090670672403
Unseen anonymous,Normal Long,Lasso Long,0,38300,0.0006220228077721393,15.978468818333745,0.3213136791549885
Unseen anonymous,Normal Long,Lasso Long,17,38300,0.00043661849706943493,2.1211294031421093,0.0947350539313492
Unseen anonymous,Normal Long,Lasso Long,22,38300,0.0005634346246017719,7.754794402305759,0.16292040977899497
Unseen anonymous,Normal Long,Lasso Long,28,38300,0.00033613371715284407,2.747906238745608,0.13852576992413854
Unseen anonymous,Normal Long,Lasso Long,30,38300,0.0006174451351085676,13.259744767097867,0.2957319184825266
Unseen anonymous,Normal Long,Lasso Long,34,38300,0.0002540310716543284,1.5612403109956818,0.09054893027420219
Unseen anonymous,Normal Long,Lasso Long,35,38300,0.00028694451159298604,0.6048943500104829,0.05621471091508682
Unseen anonymous,Normal Long,Lasso Long,38,38150,0.0005890999817148586,8.123202586254108,0.21819074370562896
Unseen anonymous,Normal Long,Lasso Long,40,38300,0.0007418839138474178,13.215860355601558,0.2666989325679312
Unseen anonymous,Normal Long,Lasso Long,48,38300,0.00038474156613204773,4.033528924827223,0.15474979226228552
Unseen anonymous,Normal Long,Lasso Long,60,38300,0.0005424888811012293,11.627201753266025,0.3393186859196093
Unseen anonymous,Normal Long,Lasso Long,74,38300,0.0004048452409405441,3.456404099883998,0.2252523323887952
Unseen anonymous,Normal Long,Lasso Long,81,38300,0.0005243924899857625,3.6851444056730203,0.14869080280677954
Unseen anonymous,Normal Long,Lasso Long,84,38300,0.0002992316790099494,0.6308404891689608,0.054331460275719744
Unseen anonymous,Normal Long,Lasso Long,87,38300,0.0004946358684832494,4.10290909936307,0.12671948548832265
Unseen anonymous,Normal Long,Lasso Long,89,38300,0.0004272980004105716,4.5514162012910315,0.23836646881423756
Unseen anonymous,Normal Long,Lasso Long,93,38300,0.0002335286608394327,1.2651569684044102,0.08410131445439392
Unseen anonymous,Normal Long,Lasso Long,95,38300,0.0002672719415127717,1.3181897612618805,0.0735219997582959
Unseen anonymous,Normal Long,Lasso Long,105,38300,0.0002855801645622748,3.1779970698111675,0.17768960755973753
Unseen anonymous,Normal Long,Lasso Long,111,38300,0.00020823516558470274,1.2986121298061613,0.09409501154265472
Unseen anonymous,Normal Long,XGB Long,0,38300,0.0006241686211463014,15.814542410799726,0.31871913535723834
