stock_id,model,n_rows,rmse,rmspe,qlike
8382,HAR-RV,126720,0.0002652630169546638,0.3384842383963975,0.04161716677919979
8382,LR Base,137088,0.00045562154780092514,0.35835682307010197,0.11281104095982002
8382,LR Short,134784,0.00031700480883970134,0.3169757940591836,0.05455977797382332
8382,LR Medium,132480,0.0002931977885840861,0.31280216744915124,0.048006310816623946
8382,LR Long,126720,0.00027469574946033644,0.311741924566765,0.04333456659952537
8382,WLR Base,137088,0.00046035509573792976,0.3593575771559389,0.11686332582985856
8382,WLR Short,134784,0.0003165489723436051,0.31655000058740246,0.054590290301151895
8382,WLR Medium,132480,0.0002922108971906335,0.3131432660845153,0.047823555175332336
8382,WLR Long,126720,0.0002739703483845016,0.31221466756374044,0.04319958981791936
8382,Lasso Base,137088,0.0003939820989681002,0.3479161781519729,0.0785699081341566
8382,Lasso Short,134784,0.00032069364310700205,0.3257845371808854,0.05373404265472127
8382,Lasso Medium,132480,0.00029841700741159167,0.32166658748262517,0.04812429588574574
8382,Lasso Long,126720,0.00028214260044745915,0.31731124294560176,0.044360741484642585
8382,XGB Base,137088,0.00031987166893823754,0.373180596970109,0.061511048626593554
8382,XGB Short,134784,0.0002801286917360797,0.3394788923054604,0.04726723840352927
8382,XGB Medium,132480,0.0002700074911259077,0.329265061384944,0.04403039183100839
8382,XGB Long,126720,0.00026219580241793007,0.32269955980146375,0.041458598358558536
8382,WXGB Base,137088,0.0003207678105668755,0.3674105043640198,0.06259707904490908
8382,WXGB Short,134784,0.00028006871115713206,0.33684941556539233,0.047450602116860474
8382,WXGB Medium,132480,0.00027001030471758986,0.3290118809952786,0.04412326286685469
8382,WXGB Long,126720,0.0002619950200182979,0.32175124831724194,0.04147199523660495
8382,RF Base,137088,0.00034964674255561135,0.355554203819387,0.090343446064697
8382,RF Short,134784,0.0003259581786386618,0.3351215792161098,0.0897475487715813
8382,RF Medium,132480,0.0003120592261049006,0.32845747545101933,0.08435469300460069
8382,RF Long,126720,0.00029099953894619194,0.311604456567038,0.06807586255948239
8382,MLP Base,137088,0.0003453407497156234,0.394160732875363,0.062222084928971015
8382,MLP Short,134784,0.0003306944551783619,0.3078275811131029,0.0644953093857795
8382,MLP Medium,132480,0.0003757567933532152,0.7039961405677589,0.0857640604723726
8382,MLP Long,126720,0.0002935800789742393,0.3053133598858776,0.04875782009494501
9323,HAR-RV,126720,0.00012070319700701053,0.604938254117551,0.056737331026305314
9323,LR Base,137088,0.0001719586468057013,0.8345518569095223,0.09583055035432883
9323,LR Short,134784,0.00013101188291953753,0.6440171615767296,0.06350759087512159
9323,LR Medium,132480,0.0001239605930744095,0.6004630931588699,0.05739569507917961
9323,LR Long,126720,0.00011817306358352211,0.5620212278725158,0.05214390134702569
9323,WLR Base,137088,0.00017232018395523828,0.8174002165311028,0.09498189600817149
9323,WLR Short,134784,0.00013067998039747024,0.6376414487657116,0.06290789129044064
9323,WLR Medium,132480,0.00012382727835696887,0.5991675799879602,0.057252342839643436
9323,WLR Long,126720,0.00011809095020673508,0.5613464492887305,0.05207403934834187
9323,Lasso Base,137088,0.0001616559190351478,0.8871721457312465,0.09509626793844227
9323,Lasso Short,134784,0.00013524436257593707,0.7122030310772847,0.07050488884585884
9323,Lasso Medium,132480,0.00012786307980803215,0.6567803469378969,0.06334191934264927
9323,Lasso Long,126720,0.00012139916963458673,0.606472879293824,0.05670312246032622
9323,XGB Base,137088,0.00014321948416085823,0.6697288146321716,0.06881141609983038
